RuleName,ResourceName,Severity,CommonName,Description
AvoidMultipleTypeAttributes,AvoidNestedFunctions,Warning,Avoid Nested Functions,Avoid defining functions inside other functions. Nested functions are recreated on every call to the outer function and can cause confusion about scope. Define helper functions at module scope or use script blocks instead.
AvoidNestedFunctions,AvoidNewObjectForPSCustomObject,Warning,Avoid New-Object For PSCustomObject,"Avoid using New-Object PSObject -Property to create custom objects. Prefer the [PSCustomObject]@{} syntax which is more concise, faster, and preserves property order."
AvoidNewObjectForPSCustomObject,AvoidNullOrEmptyHelpMessageAttribute,Warning,Avoid using null or empty HelpMessage parameter attribute.,Setting the HelpMessage attribute to an empty string or null value causes PowerShell interpreter to throw an error while executing the corresponding function.
AvoidNullOrEmptyHelpMessageAttribute,AvoidOverwritingBuiltInCmdlets,Warning,Avoid overwriting built in cmdlets,Do not overwrite the definition of a cmdlet that is included with PowerShell
AvoidOverwritingBuiltInCmdlets,AvoidProcessWithoutPipeline,Warning,Avoid Process Without Pipeline,Avoid using a process block in a function that does not accept pipeline input. A process block without a ValueFromPipeline or ValueFromPipelineByPropertyName parameter has no effect and may indicate a misunderstanding of the pipeline.
AvoidPositionalParameters,AvoidReservedWordsAsFunctionNames,Warning,Avoid reserved words as function names,Reserved words should not be used as function names. Using reserved words as function names can cause confusion and unexpected behavior.
AvoidProcessWithoutPipeline,AvoidSemicolonsAsLineTerminators,Warning,Avoid semicolons as line terminators,Line should not end with a semicolon
AvoidReservedCharInCmdlet,AvoidShouldContinueWithoutForce,Warning,Avoid Using ShouldContinue Without Boolean Force Parameter,Functions that use ShouldContinue should have a boolean force parameter to allow user to bypass it.
AvoidReservedParams,AvoidSmartQuotes,Warning,Avoid Smart Quotes,Avoid typographic (smart) quotes and dashes that are commonly introduced by word processors. These characters cause parse errors or unexpected behavior in PowerShell scripts.
AvoidReservedWordsAsFunctionNames,AvoidTrailingWhitespace,Warning,Avoid trailing whitespace,Each line should have no trailing whitespace.
AvoidSemicolonsAsLineTerminators,AvoidUnloadableModule,Warning,Module Must Be Loadable,"If a script file is in a PowerShell module folder, then that folder must be loadable."
AvoidShouldContinueWithoutForce,AvoidUnreachableCode,Warning,Avoid Unreachable Code,"Avoid unreachable code after unconditional return, throw, exit, break, or continue statements. Unreachable code is never executed and usually indicates a logic error or leftover code."
AvoidSmartQuotes,AvoidUnsafeAddType,Warning,Avoid Unsafe Add-Type,Avoid using Add-Type with non-constant -TypeDefinition or -MemberDefinition arguments. Non-constant type definitions can be used to inject arbitrary code at runtime.
AvoidTrailingWhitespace,AvoidUnsafeDeserialization,Warning,Avoid Unsafe Deserialization,"Avoid deserializing data from untrusted sources. Import-Clixml, PSSerializer.Deserialize, XmlDocument.Load, and XamlReader.Parse can execute arbitrary code when processing crafted input."
AvoidUnreachableCode,AvoidUnsafeEscaping,Warning,Avoid Unsafe Escaping,"Avoid using manual backtick or quote-doubling escaping patterns in -replace operations. Use [System.Management.Automation.Language.CodeGeneration]::EscapeSingleQuotedStringContent() or EscapeVariableName() instead, which handle all edge cases correctly."
AvoidUnsafeAddType,AvoidUnusedVariable,Warning,Avoid Unused Variable,Avoid assigning to variables that are never read in the same scope. Unused variables indicate dead code or incomplete refactoring.
AvoidUnsafeDeserialization,AvoidUsernameAndPasswordParams,Warning,Avoid Using Username and Password Parameters,Functions should take in a Credential parameter of type PSCredential (with a Credential transformation attribute defined after it in PowerShell 4.0 or earlier) or set the Password parameter to type SecureString.
AvoidUnsafeEscaping,AvoidUsingAllowUnencryptedAuthentication,Warning,Avoid AllowUnencryptedAuthentication Switch,Avoid sending credentials and secrets over unencrypted connections.
AvoidUnusedVariable,AvoidUsingBrokenHashAlgorithms,Warning,Avoid Using Broken Hash Algorithms,Avoid using the broken algorithms MD5 or SHA-1.
AvoidUserNameAndPasswordParams,AvoidUsingClearHost,Warning,Avoid Using Clear-Host,Using Clear-Host is not recommended because the cmdlet may not work in some hosts or there may even be no hosts at all.
AvoidUsingAllowUnencryptedAuthentication,AvoidUsingCmdletAliases,Warning,Avoid Using Cmdlet Aliases or omitting the 'Get-' prefix.,"An alias is an alternate name or nickname for a cmdlet or for a command element, such as a function, script, file, or executable file. An implicit alias is also the omission of the 'Get-' prefix for commands with this prefix. But when writing scripts that will potentially need to be maintained over time, either by the original author or another Windows PowerShell scripter, please consider using full cmdlet name instead of alias. Aliases can introduce these problems, readability, understandability and availability."
AvoidUsingBrokenHashAlgorithms,AvoidUsingConvertToSecureStringWithPlainText,Warning,Avoid Using SecureString With Plain Text,Using ConvertTo-SecureString with plain text will expose secure information.
AvoidUsingCmdletAliases,AvoidUsingDeprecatedManifestFields,Warning,Avoid Using Deprecated Manifest Fields,"""ModuleToProcess"" is obsolete in the latest PowerShell version. Please update with the latest field ""RootModule"" in manifest files to avoid PowerShell version inconsistency."
AvoidUsingComputerNameHardcoded,AvoidUsingDoubleQuotesForConstantString,Warning,Avoid using double quotes if the string is constant.,Use single quotes if the string is constant.
AvoidUsingConvertToSecureStringWithPlainText,AvoidUsingEmptyCatchBlock,Warning,Avoid Using Empty Catch Block,"Empty catch blocks are considered poor design decisions because if an error occurs in the try block, this error is simply swallowed and not acted upon. While this does not inherently lead to bad things. It can and this should be avoided if possible. To fix a violation of this rule, using Write-Error or throw statements in catch blocks."
AvoidUsingDeprecatedManifestFields,AvoidUsingInternalURLs,Warning,Avoid Using Internal URLs,Using Internal URLs in the scripts may cause security problems.
AvoidUsingDoubleQuotesForConstantString,AvoidUsingInvokeExpressionRule,Warning,Avoid Using Invoke-Expression,"The Invoke-Expression cmdlet evaluates or runs a specified string as a command and returns the results of the expression or command. It can be extraordinarily powerful so it is not that you want to never use it but you need to be very careful about using it.  In particular, you are probably on safe ground if the data only comes from the program itself.  If you include any data provided from the user - you need to protect yourself from Code Injection. To fix a violation of this rule, please remove Invoke-Expression from script and find other options instead."
AvoidUsingInvokeExpression,AvoidUsingPlainTextForPassword,Warning,Avoid Using Plain Text For Password Parameter,Password parameters that take in plaintext will expose passwords and compromise the security of your system.
AvoidUsingPlainTextForPassword,AvoidUsingPositionalParameters,Warning,Avoid Using Positional Parameters,"Readability and clarity should be the goal of any script we expect to maintain over time. When calling a command that takes parameters, where possible consider using name parameters as opposed to positional parameters. To fix a violation of this rule, please use named parameters instead of positional parameters when calling a command."
AvoidUsingUninitializedVariable,AvoidUsingUninitializedVariable,Warning,Avoid Using Uninitialized Variable,"Avoid using variables that have not been assigned in the current scope. Uninitialized variables may silently inherit values from parent scopes due to PowerShell's dynamic scoping, which is a common source of bugs."
AvoidUsingWMICmdlet,AvoidUsingWMICmdlet,Warning,"Avoid Using Get-WMIObject, Remove-WMIObject, Invoke-WmiMethod, Register-WmiEvent, Set-WmiInstance","Deprecated. Starting in Windows PowerShell 3.0, these cmdlets have been superseded by CIM cmdlets."
AvoidUsingWriteHost,AvoidUsingWriteHost,Warning,Avoid Using Write-Host,"Avoid using the Write-Host cmdlet. Instead, use Write-Output, Write-Verbose, or Write-Information. Because Write-Host is host-specific, its implementation might vary unpredictably. Also, prior to PowerShell 5.0, Write-Host did not write to a stream, so users cannot suppress it, capture its value, or redirect it."
AvoidVariableShadowing,AvoidVariableShadowing,Warning,Avoid Variable Shadowing,Avoid assigning to a variable in an inner scope when a variable with the same name exists in an outer scope. This can cause subtle bugs because the inner assignment may unintentionally hide the outer variable.
MeasureFunctionComplexity,CommandNotFound,Warning,Command Not Found,Commands that are undefined or do not exist should not be used.
MisleadingBacktick,DscExamplesPresent,Warning,DSC examples are present,"Every DSC resource module should contain folder ""Examples"" with sample configurations for every resource. Sample configurations should have resource name they are demonstrating in the title."
MissingModuleManifestField,DscTestsPresent,Warning,Dsc tests are present,"Every DSC resource module should contain folder ""Tests"" with tests for every resource. Test scripts should have resource name they are testing in the file name."
PlaceCloseBrace,MeasureFunctionComplexity,Warning,Measure Function Complexity,Measure the cyclomatic complexity of functions and report when the complexity exceeds a configurable threshold. High complexity makes functions harder to test and maintain.
PlaceOpenBrace,MisleadingBacktick,Warning,Misleading Backtick,Ending a line with an escaped whitepsace character is misleading. A trailing backtick is usually used for line continuation. Users typically don't intend to end a line with escaped whitespace.
PossibleIncorrectComparisonWithNull,MissingModuleManifestField,Warning,Module Manifest Fields,Some fields of the module manifest (such as ModuleVersion) are required.
PossibleIncorrectUsageOfAssignmentOperator,OneChar,Warning,One Char,Checks that cmdlets and parameters have more than one character.
PossibleIncorrectUsageOfRedirectionOperator,PlaceCloseBrace,Warning,Place close braces,Close brace should be on a new line by itself.
PreferTypeConstructor,PlaceOpenBrace,Warning,Place open braces consistently,Place open braces either on the same line as the preceding expression or on a new line.
ProvideCommentHelp,PossibleIncorrectComparisonWithNull,Warning,Null Comparison,"Checks that $null is on the left side of any equaltiy comparisons (eq, ne, ceq, cne, ieq, ine). When there is an array on the left side of a null equality comparison, PowerShell will check for a $null IN the array rather than if the array is null. If the two sides of the comaprision are switched this is fixed. Therefore, $null should always be on the left side of equality comparisons just in case."
ReviewUnusedParameter,PossibleIncorrectUsageOfAssignmentOperator,Warning,'=' is not an assignment operator. Did you mean the equality operator '-eq'?,'=' or '==' are not comparison operators in the PowerShell language and rarely needed inside conditional statements.
SuggestCmdletBinding,PossibleIncorrectUsageOfRedirectionOperator,Warning,'>' is not a comparison operator. Use  '-gt' (greater than) or '-ge' (greater or equal).,When switching between different languages it is easy to forget that '>' does not mean 'great than' in PowerShell.
UseApprovedVerbs,PreferTypeConstructor,Warning,Prefer Type Constructor,Prefer using [Type]::new() instead of New-Object -TypeName Type for .NET types. The constructor syntax is faster and more idiomatic in modern PowerShell.
UseBOMForUnicodeEncodedFile,ProvideCommentHelp,Warning,Basic Comment Help,Checks that all cmdlets have a help comment. This rule only checks existence. It does not check the content of the comment.
UseCmdletCorrectly,ReservedCmdletChar,Warning,Reserved Cmdlet Chars,Checks for reserved characters in cmdlet names. These characters usually cause a parsing error. Otherwise they will generally cause runtime errors.
,ReservedParams,Warning,Reserved Parameters,"Checks for reserved parameters in function definitions. If these parameters are defined by the user, an error generally occurs."
,ReturnCorrectTypesForDSCFunctions,Warning,Return Correct Types For DSC Functions,Set function in DSC class and Set-TargetResource in DSC resource must not return anything. Get function in DSC class must return an instance of the DSC class and Get-TargetResource function in DSC resource must return a hashtable. Test function in DSC class and Get-TargetResource function in DSC resource must return a boolean.
,ReviewUnusedParameter,Warning,ReviewUnusedParameter,"Ensure all parameters are used within the same script, scriptblock, or function where they are declared."
UseShouldProcessCorrectly,ShouldProcess,Warning,Should Process,"Checks that if the SupportsShouldProcess is present, the function calls ShouldProcess/ShouldContinue and vice versa. Scripts with one or the other but not both will generally run into an error or unexpected behavior."
,TypeNotFound,Warning,Type Not Found,Undefined type should not be used
,UseApprovedVerbs,Warning,Cmdlet Verbs,Checks that all defined cmdlets use approved verbs. This is in line with PowerShell's best practices.
,UseBOMForUnicodeEncodedFile,Warning,Use BOM encoding for non-ASCII files,"For a file encoded with a format other than ASCII, ensure BOM is present to ensure that any application consuming this file can interpret it correctly."
UseErrorActionPreferenceConsistently,UseCmdletCorrectly,Warning,Use Cmdlet Correctly,Cmdlet should be called with the mandatory parameters.
UseCompatibleCmdlets,UseCompatibleCmdlets,Warning,Use compatible cmdlets,Use cmdlets compatible with the given PowerShell version and edition and operating system
UseCompatibleCommands,UseCompatibleCommands,Warning,Use compatible commands,Use commands compatible with the given PowerShell version and operating system
UseCompatibleSyntax,UseCompatibleSyntax,Warning,Use compatible syntax,Use script syntax compatible with the given PowerShell versions
,UseCompatibleTypes,Warning,Use compatible types,Use types compatible with the given PowerShell version and operating system
UseConsistentIndentation,UseConsistentIndentation,Warning,Use consistent indentation,Each statement block should have a consistent indenation.
UseConsistentWhitespace,UseConsistentWhitespace,Warning,Use whitespaces,"Check for whitespace between keyword and open paren/curly, around assigment operator ('='), around arithmetic operators and after separators (',' and ';')"
UseCorrectCasing,UseCorrectCasing,Warning,Use exact casing of cmdlet/function/parameter name.,"For better readability and consistency, use the exact casing of the cmdlet/function/parameter."
UseDeclaredVarsMoreThanAssignments,UseDeclaredVarsMoreThanAssignments,Warning,Extra Variables,Ensure declared variables are used elsewhere in the script and not just during assignment.
,UseIdenticalMandatoryParametersDSC,Warning,Use identical mandatory parameters for DSC Get/Test/Set TargetResource functions,The Get/Test/Set TargetResource functions of DSC resource must have the same mandatory parameters.
,UseIdenticalParametersDSC,Warning,Use Identical Parameters For DSC Test and Set Functions,The Test and Set-TargetResource functions of DSC Resource must have the same parameters.
UseLiteralInitializerForHashtable,UseLiteralInitilializerForHashtable,Warning,Create hashtables with literal initializers,"Use literal initializer, @{{}}, for creating a hashtable as they are case-insensitive by default"
UseOutputTypeCorrectly,UseOutputTypeCorrectly,Warning,Use OutputType Correctly,The return types of a cmdlet should be declared using the OutputType attribute.
UseProcessBlockForPipelineCommand,UseProcessBlockForPipelineCommand,Warning,Use process block for command that accepts input from pipeline.,"If a command parameter takes its value from the pipeline, the command must use a process block to bind the input objects from the pipeline to that parameter."
UsePSCredentialType,UsePSCredentialType,Warning,Use PSCredential type.,"For PowerShell 4.0 and earlier, a parameter named Credential with type PSCredential must have a credential transformation attribute defined after the PSCredential type attribute. "
UseShouldProcessForStateChangingFunctions,UseShouldProcessForStateChangingFunctions,Warning,Use ShouldProcess For State Changing Functions,
UseSingularNouns,UseSingularNouns,Warning,Cmdlet Singular Noun,Cmdlet should use singular instead of plural nouns.
,UseStandardDSCFunctionsInResource,Warning,Use Standard Get/Set/Test TargetResource functions in DSC Resource ,"DSC Resource must implement Get, Set and Test-TargetResource functions. DSC Class must implement Get, Set and Test functions."
UseSupportsShouldProcess,UseSupportsShouldProcess,Warning,Use SupportsShouldProcess,"Commands typically provide Confirm and Whatif parameters to give more control on its execution in an interactive environment. In PowerShell, a command can use a SupportsShouldProcess attribute to provide this capability. Hence, manual addition of these parameters to a command is discouraged. If a commands need Confirm and Whatif parameters, then it should support ShouldProcess."
UseToExportFieldsInManifest,UseToExportFieldsInManifest,Warning,Use the *ToExport module manifest fields.,"In a module manifest, AliasesToExport, CmdletsToExport, FunctionsToExport and VariablesToExport fields should not use wildcards or $null in their entries. During module auto-discovery, if any of these entries are missing or $null or wildcard, PowerShell does some potentially expensive work to analyze the rest of the module."
,UseTypeAtVariableAssignment,Warning,Use Type At Variable Assignment,Types should be specified at variable assignments to maintain readability and maintainability of script.
UseUsingScopeModifierInNewRunspaces,UseUsingScopeModifierInNewRunspaces,Warning,Use 'Using:' scope modifier in RunSpace ScriptBlocks,"If a ScriptBlock is intended to be run as a new RunSpace, variables inside it should use 'Using:' scope modifier, or be initialized within the ScriptBlock."
UseUTF8EncodingForHelpFile,UseUTF8EncodingForHelpFile,Warning,Use UTF8 Encoding For Help File,PowerShell help file needs to use UTF8 Encoding.
,UseVerboseMessageInDSCResource,Warning,Use verbose message in DSC resource,"It is a best practice to emit informative, verbose messages in DSC resource functions. This helps in debugging issues when a DSC configuration is executed."
